IdMovie,title
951,Kindergarten Cop
953,Madagascar
954,Mission: Impossible
955,Mission: Impossible II
956,Mission: Impossible III
957,Spaceballs
961,The General
962,The Gold Rush
963,The Maltese Falcon
964,The Phantom of the Opera
965,The Magnificent Ambersons
966,The Magnificent Seven
967,Spartacus
968,Dog Day Afternoon
975,Paths of Glory
976,Sweet Smell of Success
977,Tabu
978,Seven Years in Tibet
979,Irreversible
980,The Ox-Bow Incident
981,The Philadelphia Story
982,The Manchurian Candidate
983,The Man Who Would Be King
984,Dirty Harry
985,Eraserhead
986,Chimes at Midnight
987,The Front Page
988,The China Syndrome
989,The Mortal Storm
990,The Hustler
991,The Man Who Fell to Earth
992,"Sherlock, Jr."
993,Sleuth
994,Straw Dogs
995,Stagecoach
996,Double Indemnity
1018,Mulholland Drive
1023,Adam's Apples
1024,Heavenly Creatures
1039,The Inheritors
1040,The Leopard
1049,Sommersby
1050,Shower
1051,The French Connection
1052,Blow-Up
1058,Breathless
1059,The Hidden Fortress
1073,Arlington Road
1075,"Black Cat, White Cat"
1088,Whale Rider
1089,Point Break
1090,The Thirteenth Floor
1091,The Thing
1092,The Third Man
1093,Elevator to the Gallows
1103,Escape from New York
1114,The Weeping Camel
1115,Ghosts
1116,The Wind That Shakes the Barley
1123,Catch a Fire
1124,The Prestige
1125,Dreamgirls
1126,In My Father's Den
1127,Princesses
1162,The Miracle Worker
1163,The Miracle Worker
1164,Babel
1165,The Queen
1213,The Talented Mr. Ripley
1244,Eight Miles High
1245,The Remains of the Day
1246,Rocky Balboa
1247,The Good Shepherd
1248,Hannibal Rising
1249,Hollywoodland
1250,Ghost Rider
1251,Letters from Iwo Jima
1252,Lonely Hearts
1253,Breaking and Entering
1254,"Don't Worry, I'm Fine"
1255,The Host
1257,Because I Said So
1259,Notes on a Scandal
1260,Lotte from Gadgetville
1262,Stranger Than Fiction
1265,Bridge to Terabithia
1266,Street Kings
1267,Meet the Robinsons
1268,Mr. Bean's Holiday
1269,The Vexxer
1271,300
1272,Sunshine
1273,TMNT
1277,Gloomy Sunday
1278,The Dreamers
1279,Samaritan Girl
1280,3-Iron
1281,Bean
1282,Dogtown and Z-Boys
1283,"Torrente, the Dumb Arm of the Law"
1284,Torrente 2: Mission in Marbella
1285,Torrente 3 The Protector
1294,Four Minutes
1358,A Brief History of Time
1359,American Psycho
1360,Frida
1361,The Return of the King
1362,The Hobbit
1363,The Hi-Lo Country
1364,Sex and Lucia
1365,Monster's Ball
1366,Rocky
1367,Rocky II
1368,First Blood
1369,Rambo: First Blood Part II
1370,Rambo III
1371,Rocky III
1372,Blood Diamond
1373,The Discovery of Heaven
1374,Rocky IV
1375,Rocky V
1376,Sweet Sixteen
1377,Houseboat
1378,Shortbus
1379,Lights in the Dusk
1380,Gleaming the Cube
1381,The Fountain
1382,Me and You and Everyone We Know
1387,Superstar: The Karen Carpenter Story
1389,Out of Sight
1391,Y Tu Mamá También
1392,Born into Brothels
1393,The Cave of the Yellow Dog
1394,Nostalgia
1396,Mirror
1398,Stalker
1402,The Pursuit of Happyness
1403,Duel at Diablo
1404,Ae Fond Kiss...
1405,Greed
1406,City Slickers
1407,La Vie en Rose
1408,Cutthroat Island
1410,Dark Star
1411,The Rapture
1412,"Sex, Lies, and Videotape"
1413,M. Butterfly
1414,Lovers of the Arctic Circle
1415,Party Monster
1416,The Coast Guard
1417,Pan's Labyrinth
1418,Take My Eyes
1419,Vollidiot
1420,Breakfast on Pluto
1421,The Man Who Loved Women
1422,The Departed
1427,Perfume: The Story of a Murderer
1428,Once Upon a Time in Mexico
1429,25th Hour
1430,Bowling for Columbine
1433,The Devil's Backbone
1435,Tarnation
1439,Anna and the King
1440,Little Children
1441,The Contract
1443,The Virgin Suicides
1444,Junebug
1448,The Wisdom of Crocodiles
1450,Blood: The Last Vampire
1452,Superman Returns
1479,"Clean, Shaven"
1480,Touch of Evil
1481,Metal Skin
1482,Laws of Gravity
1483,Begotten
1484,The Deathmaker
1485,Get Carter
1487,Hellboy
1488,Mongolian Ping Pong
1491,The Illusionist
1492,1492: Conquest of Paradise
1493,Miss Congeniality
1494,Curse of the Golden Flower
1495,Kingdom of Heaven
1496,Cool as Ice
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1498,Teenage Mutant Ninja Turtles
1499,Teenage Mutant Ninja Turtles III
1523,The Last King of Scotland
1534,Pathfinder
1535,Spy Game
1537,Changing Lanes
1538,Collateral
1539,Keine Lieder über Liebe
1540,Heading South
1541,Thelma & Louise
1542,Office Space
1543,Emma's Bliss
1544,Imagine Me & You
1546,Thumbsucker
1547,The Lost Boys
1548,Ghost World
1549,Games of Love and Chance
1550,Pieces of April
1551,Flatliners
1552,Parenthood
1553,The Beat That My Heart Skipped
1554,Down by Law
1555,The Spanish Apartment
1556,Funeral Parade of Roses
1557,23
1559,Sweet Movie
1560,Singapore Sling
1561,Mouchette
1562,28 Weeks Later
1563,Sunless
1566,The Bridge
1567,I Stand Alone
1568,Carne
1571,Live Free or Die Hard
1572,Die Hard: With a Vengeance
1573,Die Hard 2
1574,Chicago
1576,Resident Evil
1577,Resident Evil: Apocalypse
1578,Raging Bull
1579,Apocalypto
1580,Rope
1581,The Holiday
1583,Lammbock
1584,School of Rock
1585,It's a Wonderful Life
1586,Secret Window
1587,What's Eating Gilbert Grape
1588,Bring It On
1589,The Boys from County Clare
1590,Copying Beethoven
1591,Nowhere in Africa
1592,Primal Fear
1593,Night at the Museum
1594,A Shot in the Dark
1595,Land of Plenty
1596,Population 436
1597,Meet the Parents
1598,Cape Fear
1599,I Heart Huckabees
1600,The Double Life of Veronique
1607,A Bronx Tale
1608,When Saturday Comes
1609,There's Only One Jimmy Grimble
1610,Fever Pitch
1611,The Miracle of Bern
1613,The 51st State
1615,Erkan & Stefan 2
1616,Erkan & Stefan 3
1618,Still Crazy
1619,The Way of the Gun
1620,Hitman
1621,Trading Places
1622,Lemming
1623,Brubaker
1624,Liar Liar
1626,Vivre Sa Vie
1627,The Wild Child
1628,Jules and Jim
1629,La Chinoise
1630,The People vs. Larry Flynt
1631,A Real Young Girl
1632,Mississippi Burning
1633,Fried Green Tomatoes
1634,Free Willy
1635,The Island
1636,Bedazzled
1637,Speed
1639,Speed 2: Cruise Control
1640,Crash
1641,Forces of Nature
1642,The Net
1643,Last Tango in Paris
1644,The Vanishing
1645,A Time to Kill
1646,Freedom Writers
1647,The Recruit
1648,Bill & Ted's Excellent Adventure
1649,Bill & Ted's Bogus Journey
1651,Mississippi Mermaid
1652,00 Schneider - Jagd auf Nihil Baxter
1653,The Motorcycle Diaries
1654,The Dirty Dozen
1655,Praxis Dr. Hasenbein
1656,The Legend of Zorro
1659,Texas - Doc Snyder hält die Welt in Atem
1660,Small Change
1661,Gigantics
1662,State of Grace
1665,Last Days
1666,The Bridge
1667,March of the Penguins
1669,The Hunt for Red October
1672,The Professional
1673,Comanche Station
1675,Day for Night
1676,Will Penny
1677,Ray
1678,Godzilla
1679,Godzilla Raids Again
1680,King Kong vs. Godzilla
1682,Mothra vs. Godzilla
1683,The Reaping
1685,Beneath the Planet of the Apes
1686,Chelsea Girls
1687,Escape from the Planet of the Apes
1688,Conquest of the Planet of the Apes
1689,Little Buddha
1690,Hostel
1691,Hostel: Part II
1694,Re-Animator
1696,The Devil's Rejects
1697,Grave Decisions
1698,Anatomy
1700,Misery
1701,Con Air
1702,Death Machine
1705,Battle for the Planet of the Apes
1710,Copycat
1712,Giant
1713,Jungle Fever
1714,Fahrenheit 451
1715,The Cider House Rules
1716,The Last Metro
1717,All the King's Men
1718,Santa Fe Trail
1719,The Soft Skin
1720,Noi the Albino
1721,All the Way Boys
1722,Captain Corelli's Mandolin
1723,The Front
1724,The Incredible Hulk
1725,West Side Story
1726,Iron Man
1727,Bird on a Wire
1729,The Forbidden Kingdom
1730,INLAND EMPIRE
1731,Helen
1732,The Prisoner of Zenda
1734,The Mummy Returns
1735,The Mummy: Tomb of the Dragon Emperor
1736,Shoppen
1738,Next
1770,Michael Collins
1771,Captain America: The First Avenger
1772,City of Hope
1773,American Madness
1774,The Big One
1775,Canadian Bacon
1776,Jesus Camp
1777,Fahrenheit 9/11
1778,The Backyard
1779,Roger & Me
1781,An Inconvenient Truth
1782,Afterwards
1783,To End All Wars
1785,May Fools
1786,Au Revoir les Enfants
1787,Les Biches
1788,Footloose
1789,The Gazebo
1790,Heaven with a Gun
1791,The Piano Teacher
1792,Stuck on You
1793,Max Dugan Returns
1802,La Cérémonie
1803,Angel
1807,Elephant
1808,Velvet Goldmine
1809,The Rules of Attraction
1810,Viva Zapata!
1811,Nowhere
1812,Trick
1813,The Devil's Advocate
1815,The Big Sleep
1816,A Chorus Line
1817,Phone Booth
1818,Shoot the Piano Player
1819,"You, Me and Dupree"
1824,50 First Dates
1825,Over the Top
1826,Russian Dolls
1829,The Story of Adele H
1830,Lord of War
1831,The Next Best Thing
1832,Dogma
1833,Rent
1834,"Murder, My Sweet"
1835,"Farewell, My Lovely"
1836,In My Skin
1837,The Secret
1838,We Shall Overcome
1840,The Brasher Doubloon
1841,Lady in the Lake
1842,The Legend of Boggy Creek
1843,Dig!
1844,Entrapment
1845,2 Days in Paris
1846,Marlowe
1847,The Long Goodbye
1848,Poodle Springs
1849,Nine Hours to Rama
1850,Man on the Moon
1852,World Trade Center
1853,In the Realms of the Unreal
1857,The Transformers: The Movie
1858,Transformers
1859,Ninotchka
1863,Sunflower
1865,Pirates of the Caribbean: On Stranger Tides
1870,Fantomas Unleashed
1871,Fantomas
1872,Rise: Blood Hunter
1873,Beyond Rangoon
1874,Goodbye Bafana
1875,Fantomas vs. Scotland Yard
1877,Doctor Mordrid
1878,Fear and Loathing in Las Vegas
1879,Guess Who's Coming to Dinner
1880,Red Dawn
1882,The Men
1883,Malcolm X
1884,The Ewok Adventure
1885,The Karate Kid
1887,Marie Antoinette
1888,The Fortune Cookie
1890,Children of a Lesser God
1891,The Empire Strikes Back
1892,Return of the Jedi
1893,Star Wars: Episode I - The Phantom Menace
1894,Star Wars: Episode II - Attack of the Clones
1895,Star Wars: Episode III - Revenge of the Sith
1896,Salvador (Puig Antich)
1899,The Chinese Botanist's Daughters
1900,Traffic
1901,In Good Company
1902,Open Your Eyes
1903,Vanilla Sky
1904,Memoirs of a Geisha
1906,Solo Sunny
1907,The Beach
1908,Inherit the Wind
1909,Don Juan DeMarco
1911,The 13th Warrior
1912,Reclaim Your Brain
1913,The Sea Inside
1914,FC Venus
1915,"Manta, Manta"
1917,Who Killed Bambi?
1918,Or (My Treasure)
1919,Away from Her
1920,Crime of Passion
1921,Sweet November
1922,Irina Palm
1923,Twin Peaks: Fire Walk with Me
1924,Superman
1926,11'09''01 - September 11
1927,Hulk
1930,The Amazing Spider-Man
1931,Stomp the Yard
1933,The Others
1934,Shakespeare in Love
1936,River of No Return
1937,Bonjour Tristesse
1938,Angel Face
1939,Laura
1940,Porgy and Bess
1941,Exodus
1942,Bunny Lake Is Missing
1944,The Door in the Floor
1945,Nell
1946,eXistenZ
1947,An Unfinished Life
1948,Crank
1949,Zodiac
1950,Lucky You
1951,Manderlay
1954,The Butterfly Effect
1955,The Elephant Man
1956,Gerry
1957,Enough
1958,8 Women
1959,Swept from the Sea
1961,My Name Is Bruce
1963,The Bow
1964,A Friend of Mine
